Reference area,Source,Sex,Time,Total,Agriculture,Non-agriculture,
Albania,LFS - Labour Force Survey,Male,2015,65.8,99.5,46.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,LFS - Labour Force Survey,Female,2015,60.1,99.5,24.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,LFS - Labour Force Survey,Total,2016,61.6,99.5,36.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,LFS - Labour Force Survey,Male,2016,63.8,99.5,43.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,LFS - Labour Force Survey,Female,2016,58.9,99.6,25.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,LFS - Labour Force Survey,Total,2017,58.7,99.3,33.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,LFS - Labour Force Survey,Male,2017,61.1,99.2,40.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,LFS - Labour Force Survey,Female,2017,55.6,99.5,23.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,LFS - Labour Force Survey,Total,2018,57.9,98.9,33.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,LFS - Labour Force Survey,Male,2018,60.2,98.4,41.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,LFS - Labour Force Survey,Female,2018,54.9,99.4,22.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,LFS - Labour Force Survey,Total,2019,56.7,99.4,32.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,LFS - Labour Force Survey,Male,2019,59.0,99.0,39.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,LFS - Labour Force Survey,Female,2019,53.8,99.8,21.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Total,2011,84.3,99.8,68.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Male,2011,77.2,99.6,59.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Female,2011,91.3,99.9,79.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,LFS - Employment Survey,Total,2019,88.2,99.5,75.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Angola,LFS - Employment Survey,Male,2019,82.2,99.2,67.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Angola,LFS - Employment Survey,Female,2019,94.0,99.7,86.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Angola,LFS - Employment Survey,Total,2021,90.3,99.8,78.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,LFS - Employment Survey,Male,2021,84.8,99.7,69.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,LFS - Employment Survey,Female,2021,95.5,100.0,88.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,2011,48.1,62.3,48.0,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,2011,47.5,60.6,47.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,2011,48.9,69.6,48.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,2012,48.2,59.2,48.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,2012,48.0,58.2,47.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,2012,48.4,63.5,48.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,2013,47.8,64.8,47.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,2013,48.3,65.4,48.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,2013,47.0,61.6,47.0,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,2014,47.2,57.4,47.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,2014,47.5,58.6,47.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,2014,46.8,49.1,46.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,2017,48.3,18.9,48.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,2017,48.8,13.4,48.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,2017,47.7,,47.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,2018,48.5,17.4,48.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,2018,48.1,21.3,48.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,2018,48.9,,49.0,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,2019,49.7,31.5,49.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,2019,49.7,21.0,49.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,2019,49.6,65.3,49.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,2020,46.8,26.4,46.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,2020,47.3,23.7,47.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,2020,46.1,,46.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,2021,48.9,28.8,49.0,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Male,2021,49.0,27.4,49.0,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Female,2021,48.9,,48.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas"
Armenia,HIES - Households Living Conditions Survey,Total,2011,62.4,98.9,39.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,HIES - Households Living Conditions Survey,Male,2011,63.6,97.9,46.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,HIES - Households Living Conditions Survey,Female,2011,61.0,99.6,28.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,HIES - Households Living Conditions Survey,Total,2012,61.5,99.4,39.0,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,HIES - Households Living Conditions Survey,Male,2012,62.9,99.3,46.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,HIES - Households Living Conditions Survey,Female,2012,60.1,99.6,29.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,HIES - Households Living Conditions Survey,Total,2013,60.4,99.3,38.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,HIES - Households Living Conditions Survey,Male,2013,60.2,98.5,44.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,HIES - Households Living Conditions Survey,Female,2013,60.5,99.8,28.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Total,2014,59.1,99.5,37.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Male,2014,59.8,99.0,43.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Female,2014,58.3,99.9,30.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Total,2015,52.1,99.0,26.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Male,2015,52.8,98.2,32.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Female,2015,51.4,99.7,19.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Total,2016,49.9,99.4,24.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Male,2016,50.9,99.0,29.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Female,2016,48.9,99.7,19.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Total,2017,47.9,98.5,24.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Male,2017,48.4,97.8,29.0,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Female,2017,47.3,99.2,19.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Total,2018,56.4,81.0,30.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Male,2018,55.1,80.9,38.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Female,2018,57.7,81.0,16.0,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Total,2019,52.3,79.6,25.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Male,2019,50.5,78.4,34.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Female,2019,54.0,80.3,11.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Total,2020,49.3,76.0,19.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Male,2020,48.5,76.3,27.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Female,2020,49.9,75.7,9.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Total,2021,50.2,76.0,21.0,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Male,2021,47.9,77.4,29.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Female,2021,52.2,75.3,8.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Australia,"HIES - Household, Income and Labour Dynamics Survey",Total,2011,28.3,61.6,27.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Australia,"HIES - Household, Income and Labour Dynamics Survey",Male,2011,27.1,56.7,26.0,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Australia,"HIES - Household, Income and Labour Dynamics Survey",Female,2011,29.7,78.5,29.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Australia,"HIES - Household, Income and Labour Dynamics Survey",Total,2012,27.6,67.3,26.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Australia,"HIES - Household, Income and Labour Dynamics Survey",Male,2012,26.0,61.8,24.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Australia,"HIES - Household, Income and Labour Dynamics Survey",Female,2012,29.5,84.0,28.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Australia,"HIES - Household, Income and Labour Dynamics Survey",Total,2013,28.2,70.1,27.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Australia,"HIES - Household, Income and Labour Dynamics Survey",Male,2013,26.9,68.3,25.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Australia,"HIES - Household, Income and Labour Dynamics Survey",Female,2013,29.6,76.0,29.0,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Australia,"HIES - Household, Income and Labour Dynamics Survey",Total,2014,28.0,65.6,26.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Australia,"HIES - Household, Income and Labour Dynamics Survey",Male,2014,27.5,63.2,26.0,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Australia,"HIES - Household, Income and Labour Dynamics Survey",Female,2014,28.6,71.3,27.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Australia,"HIES - Household, Income and Labour Dynamics Survey",Total,2015,28.8,72.9,27.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Australia,"HIES - Household, Income and Labour Dynamics Survey",Male,2015,26.9,70.0,25.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Australia,"HIES - Household, Income and Labour Dynamics Survey",Female,2015,31.0,80.1,30.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Australia,"HIES - Household, Income and Labour Dynamics Survey",Total,2016,28.0,69.6,26.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Australia,"HIES - Household, Income and Labour Dynamics Survey",Male,2016,27.6,66.7,25.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Australia,"HIES - Household, Income and Labour Dynamics Survey",Female,2016,28.5,79.2,27.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Australia,"HIES - Household, Income and Labour Dynamics Survey",Total,2017,28.2,70.1,27.0,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Australia,"HIES - Household, Income and Labour Dynamics Survey",Male,2017,26.8,69.6,25.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Australia,"HIES - Household, Income and Labour Dynamics Survey",Female,2017,29.7,71.6,29.0,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Australia,"HIES - Household, Income and Labour Dynamics Survey",Total,2018,27.6,69.3,26.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
