"year","month","date_of_month","day_of_week","autos"
2000,8,12,6,9305.24175774707
2000,8,13,7,8314.77575530974
2000,8,14,1,11927.9233749243
2000,8,15,2,13373.0564245707
2000,8,16,3,13172.8013891058
2000,8,17,4,13098.4058220528
2000,8,18,5,13122.7341450223
2000,8,19,6,9275.02398353258
2000,8,20,7,8345.43819019149
2000,8,21,1,12002.6385767311
2000,8,22,2,13404.3830597885
2000,8,23,3,12929.7086483764
2000,8,24,4,13021.2991074934
2000,8,25,5,12927.1394083074
2000,8,26,6,9339.9323715051
2000,8,27,7,8240.87832876098
2000,8,28,1,12073.5073596039
2000,8,29,2,13236.4917548297
2000,8,30,3,13111.5948615169
2000,8,31,4,13286.8976659788
2000,9,1,5,13145.9106648744
2000,9,2,6,9264.72986466453
2000,9,3,7,8247.12394745772
2000,9,4,1,8603.11017961968
2000,9,5,2,12200.7108155562
2000,9,6,3,13917.1450456373
2000,9,7,4,13511.6349509045
2000,9,8,5,13487.7560609252
2000,9,9,6,9860.18823736614
2000,9,10,7,8550.83838762871
2000,9,11,1,12405.2829435728
2000,9,12,2,13648.9091489993
2000,9,13,3,13297.5954483851
2000,9,14,4,13740.4102469717
2000,9,15,5,13552.3611463878
2000,9,16,6,9779.49943102607
2000,9,17,7,8683.26083369247
2000,9,18,1,12553.741913528
2000,9,19,2,13851.0671757422
2000,9,20,3,13775.0423186264
2000,9,21,4,13350.5151095443
2000,9,22,5,13189.5433226611
2000,9,23,6,9495.03518720597
2000,9,24,7,8538.91873747214
2000,9,25,1,12431.482970422
2000,9,26,2,13541.2828502957
2000,9,27,3,13466.6148664968
2000,9,28,4,13517.06627536
2000,9,29,5,13045.5282613361
2000,9,30,6,9334.53996190229
2000,10,1,7,8453.01340139553
2000,10,2,1,12224.7079914639
2000,10,3,2,13244.1016779893
2000,10,4,3,13153.474909951
2000,10,5,4,13288.7987063986
2000,10,6,5,12774.1935041983
2000,10,7,6,9131.89370694801
2000,10,8,7,8118.94318238352
2000,10,9,1,11342.7541380907
2000,10,10,2,13123.998490708
2000,10,11,3,12909.2421247909
2000,10,12,4,13038.3239614704
2000,10,13,5,11722.3226574377
2000,10,14,6,9163.51033362819
2000,10,15,7,8155.84866994926
2000,10,16,1,11999.5029367093
2000,10,17,2,13107.2663716889
2000,10,18,3,12814.9201103562
2000,10,19,4,12502.5084969634
2000,10,20,5,12469.2847296464
2000,10,21,6,8955.71986021494
2000,10,22,7,7938.17229007974
2000,10,23,1,11811.2348505477
2000,10,24,2,12993.0926832255
2000,10,25,3,12779.4523737907
2000,10,26,4,12788.6388441069
2000,10,27,5,12333.1462706948
2000,10,28,6,8976.07198185216
2000,10,29,7,8125.37256928375
2000,10,30,1,11557.5453497761
2000,10,31,2,11371.8982546509
2000,11,1,3,12927.6417334749
2000,11,2,4,13064.7243894372
2000,11,3,5,12628.721041475
2000,11,4,6,9086.2069626289
2000,11,5,7,8076.02906928998
2000,11,6,1,11861.4505315929
2000,11,7,2,12820.4980532777
2000,11,8,3,12828.8592388195
2000,11,9,4,12777.0556210989
2000,11,10,5,12550.7551616941
2000,11,11,6,9319.23382393039
2000,11,12,7,8068.89229005482
2000,11,13,1,11480.3847064335
2000,11,14,2,13152.5531448836
2000,11,15,3,12952.6007018467
2000,11,16,4,13061.9964829903
2000,11,17,5,12888.7146702286
2000,11,18,6,9138.35427616517
2000,11,19,7,8076.82461555368
2000,11,20,1,12973.8609162219
2000,11,21,2,13990.1455306381
2000,11,22,3,12418.2544107091
2000,11,23,4,8141.82859081065
2000,11,24,5,9803.99461042128
2000,11,25,6,8537.10467151063
2000,11,26,7,7949.96884796776
2000,11,27,1,12174.6753546218
2000,11,28,2,13799.2147237418
2000,11,29,3,13114.409413034
2000,11,30,4,12815.354285193
2000,12,1,5,12546.1162603736
2000,12,2,6,8914.21227857648
2000,12,3,7,7928.42719093454
2000,12,4,1,11500.3843764406
2000,12,5,2,12997.5918469115
2000,12,6,3,12697.135445423
2000,12,7,4,12819.2097681637
2000,12,8,5,12545.7288947316
2000,12,9,6,8853.17294971011
2000,12,10,7,8020.9931218082
2000,12,11,1,11812.7807074035
2000,12,12,2,13626.9414061812
2000,12,13,3,12568.7201148853
2000,12,14,4,12639.4575034184
2000,12,15,5,12658.3297947188
2000,12,16,6,9184.6619684863
2000,12,17,7,8024.6648233764
2000,12,18,1,12588.4338067258
2000,12,19,2,13829.5020521425
2000,12,20,3,13760.1725500605
2000,12,21,4,13522.9878782142
2000,12,22,5,12246.7673747764
2000,12,23,6,8483.31476288144
2000,12,24,7,6973.45623596422
2000,12,25,1,6719.79844347246
2000,12,26,2,10393.223251685
2000,12,27,3,13250.7581699714
2000,12,28,4,13899.2197409816
2000,12,29,5,13608.2754320234
2000,12,30,6,9405.27224625048
2000,12,31,7,7893.12496880873
2001,1,1,1,7664.00619053298
2001,1,2,2,10636.1516987556
2001,1,3,3,12451.3245770111
2001,1,4,4,12678.9957924977
2001,1,5,5,12646.6978309441
2001,1,6,6,9180.78198139872
2001,1,7,7,7882.81626959502
2001,1,8,1,11446.1026173481
2001,1,9,2,12385.9448234657
2001,1,10,3,12455.0659911712
2001,1,11,4,12431.588217028
2001,1,12,5,12734.6504614172
2001,1,13,6,8837.66942745668
2001,1,14,7,7818.09753884801
2001,1,15,1,10925.3279998655
2001,1,16,2,12328.0507725662
2001,1,17,3,12343.9005444802
2001,1,18,4,12648.3491081574
2001,1,19,5,12337.9293705755
2001,1,20,6,8771.54502542694
2001,1,21,7,7850.02747573563
2001,1,22,1,11443.7343555408
2001,1,23,2,12445.0394617106
2001,1,24,3,12243.8812769199
2001,1,25,4,12567.7045256082
2001,1,26,5,12190.3553693061
2001,1,27,6,8794.97530827323
2001,1,28,7,7760.81790833772
2001,1,29,1,11514.2029553353
2001,1,30,2,12488.1032910317
2001,1,31,3,12477.6923979834
2001,2,1,4,12476.4664542377
2001,2,2,5,12470.388748828
2001,2,3,6,8650.11157351339
2001,2,4,7,7716.40451277122
2001,2,5,1,11825.1460939501
2001,2,6,2,12536.5742963438
2001,2,7,3,12343.0158121849
2001,2,8,4,12391.8844375059
2001,2,9,5,12341.3941899286
2001,2,10,6,8791.27261241531
2001,2,11,7,7561.7950487718
2001,2,12,1,11669.0901802341
2001,2,13,2,12267.1839025299
2001,2,14,3,13190.4415787099
2001,2,15,4,12631.3458926903
2001,2,16,5,12354.894247825
2001,2,17,6,8608.61537964319
2001,2,18,7,7554.63171826598
2001,2,19,1,10522.2783213371
2001,2,20,2,12371.7247286275
2001,2,21,3,12491.1855954047
2001,2,22,4,12481.8269470702
2001,2,23,5,12241.1601240589
2001,2,24,6,8656.32639148531
2001,2,25,7,7792.89699196258
2001,2,26,1,11332.8310780913
2001,2,27,2,12334.8672919148
2001,2,28,3,12208.0650714947
2001,3,1,4,12527.872387435
2001,3,2,5,12382.3225322793
2001,3,3,6,8934.61551855818
2001,3,4,7,7800.54899508521
2001,3,5,1,11412.8600327126
2001,3,6,2,12339.4621685363
2001,3,7,3,12350.6840858915
2001,3,8,4,12439.3367838468
2001,3,9,5,12459.9130032005
2001,3,10,6,8806.79350604657
2001,3,11,7,7695.88622945718
2001,3,12,1,11593.6917258708
2001,3,13,2,12533.9861241254
2001,3,14,3,12578.269830237
2001,3,15,4,12524.542182053
2001,3,16,5,12459.9982815526
2001,3,17,6,9006.54170224115
2001,3,18,7,7526.56324412611
2001,3,19,1,11351.6783124615
2001,3,20,2,12868.4938310603
2001,3,21,3,12689.8073928554
2001,3,22,4,12470.4620466614
2001,3,23,5,12432.6225356307
2001,3,24,6,8831.05669891131
2001,3,25,7,7801.59764292908
2001,3,26,1,11290.520775666
2001,3,27,2,12570.0977456531
2001,3,28,3,12470.425366061
2001,3,29,4,12366.0836268332
2001,3,30,5,12058.7141076278
2001,3,31,6,8771.14754111329
2001,4,1,7,7211.72603829307
2001,4,2,1,11673.0318119383
2001,4,3,2,12865.4937962371
2001,4,4,3,12654.7023324048
2001,4,5,4,12438.6460295851
2001,4,6,5,12406.905753399
2001,4,7,6,8756.89647483932
2001,4,8,7,7718.02549192523
2001,4,9,1,11617.7406162006
2001,4,10,2,13031.6793442046
2001,4,11,3,12911.4924271347
2001,4,12,4,12733.7784863177
2001,4,13,5,10880.3297744082
2001,4,14,6,8261.72886723732
2001,4,15,7,7232.1157161048
2001,4,16,1,11220.647002013
2001,4,17,2,12866.6886844378
2001,4,18,3,12378.9511523936
2001,4,19,4,12255.0209974655
2001,4,20,5,12295.6742853712
2001,4,21,6,8847.90711167228
2001,4,22,7,7757.08442098503
2001,4,23,1,11673.0642815254
2001,4,24,2,12981.4620365905
2001,4,25,3,12729.3667311859
2001,4,26,4,12560.6608385947
2001,4,27,5,12335.367800223
2001,4,28,6,8574.31224524228
2001,4,29,7,7601.39482601837
2001,4,30,1,11418.5261465487
2001,5,1,2,13036.6751783986
2001,5,2,3,12541.9775979876
2001,5,3,4,12595.8572132656
2001,5,4,5,12277.2852399546
2001,5,5,6,8795.46293486452
2001,5,6,7,8001.33528048858
2001,5,7,1,11635.828844857
2001,5,8,2,13032.2563099054
2001,5,9,3,12478.2321861421
2001,5,10,4,12632.136753654
2001,5,11,5,12296.4412315602
2001,5,12,6,8691.18480976409
2001,5,13,7,7478.29762175011
2001,5,14,1,11578.1221906361
2001,5,15,2,13123.0335617951
2001,5,16,3,12625.7871750962
2001,5,17,4,12630.0876541717
2001,5,18,5,12313.8109221252
2001,5,19,6,8801.81899700505
2001,5,20,7,7733.22180843687
2001,5,21,1,11678.9963526404
2001,5,22,2,13048.5474215254
2001,5,23,3,12936.9367771197
2001,5,24,4,13178.8039592959
2001,5,25,5,12723.5701526637
2001,5,26,6,8911.26236420223
2001,5,27,7,7529.14711628668
2001,5,28,1,7992.69507125997
2001,5,29,2,12013.6562084852
2001,5,30,3,13333.5970359072
2001,5,31,4,13051.3251860407
2001,6,1,5,12679.1072412545
2001,6,2,6,8920.84265853935
2001,6,3,7,7888.17391326285
2001,6,4,1,11498.6325610656
2001,6,5,2,12682.8658899265
2001,6,6,3,12805.0541743171
2001,6,7,4,12565.4202029534
2001,6,8,5,12450.2308437209
2001,6,9,6,8756.38656415919
2001,6,10,7,7676.89058669489
2001,6,11,1,11775.0708010014
2001,6,12,2,13219.1749646588
2001,6,13,3,12342.1342069126
2001,6,14,4,12655.8436527722
2001,6,15,5,12394.3098026687
2001,6,16,6,8778.57227473587
2001,6,17,7,7721.81940669542
2001,6,18,1,11756.1647257718
2001,6,19,2,12786.0839032425
2001,6,20,3,12704.3416267631
2001,6,21,4,12615.6786217743
2001,6,22,5,12299.6046248698
2001,6,23,6,8452.6991045858
2001,6,24,7,7640.35166654989
2001,6,25,1,11573.847185187
2001,6,26,2,12939.5722045064
2001,6,27,3,12808.8888115504
2001,6,28,4,13058.9016038638
2001,6,29,5,12921.003900349
2001,6,30,6,9247.57558812368
2001,7,1,7,8144.90438573502
2001,7,2,1,12390.2752630082
2001,7,3,2,13363.6213332679
2001,7,4,3,9608.48893107368
2001,7,5,4,12530.9651665796
2001,7,6,5,13151.3160435865
2001,7,7,6,9542.9351473561
2001,7,8,7,8251.30635880581
2001,7,9,1,12035.4597744315
2001,7,10,2,13614.0930613764
2001,7,11,3,13024.9652548832
2001,7,12,4,13190.00257088
2001,7,13,5,12186.7907741747
2001,7,14,6,9267.68868008412
2001,7,15,7,8048.15295229035
2001,7,16,1,12382.3869157319
2001,7,17,2,13656.678182188
2001,7,18,3,13242.4543355869
2001,7,19,4,13293.8339043828
2001,7,20,5,12950.1511100798
2001,7,21,6,9410.85806502692
2001,7,22,7,8114.68716256899
2001,7,23,1,12098.4299197541
2001,7,24,2,13532.3034251318
2001,7,25,3,12987.3586692869
2001,7,26,4,13022.3214457415
2001,7,27,5,12677.3419202718
2001,7,28,6,9103.29122603434
2001,7,29,7,7892.07808387378
2001,7,30,1,12149.4383337285
2001,7,31,2,13217.3308805595
2001,8,1,3,12960.6532244464
2001,8,2,4,13097.0440534073
2001,8,3,5,12859.5010282984
2001,8,4,6,9143.03972046123
2001,8,5,7,8063.74907943686
2001,8,6,1,12007.1124303287
2001,8,7,2,13488.6230787136
2001,8,8,3,13183.1794773166
2001,8,9,4,13339.8327198345
2001,8,10,5,13092.485615634
2001,8,11,6,9274.70025285103
2001,8,12,7,8259.97582419113
2001,8,13,1,11681.1567615175
2001,8,14,2,13323.5424882832
2001,8,15,3,13332.4220293251
2001,8,16,4,13372.9149834409
2001,8,17,5,13101.3314935984
2001,8,18,6,9292.25819612243
2001,8,19,7,7943.99705493762
2001,8,20,1,12312.8405840236
2001,8,21,2,13589.3544495639
2001,8,22,3,13145.3561067544
2001,8,23,4,13158.2865324066
2001,8,24,5,12995.9660349454
2001,8,25,6,9229.02057645609
2001,8,26,7,8115.41379267807
2001,8,27,1,12080.7338143082
2001,8,28,2,13791.9529262817
2001,8,29,3,13160.1743282915
2001,8,30,4,13520.1326474844
2001,8,31,5,13460.0098544159
2001,9,1,6,9248.37203268205
2001,9,2,7,8238.36132481414
2001,9,3,1,8114.70212772676
2001,9,4,2,12501.8845067305
2001,9,5,3,14055.704039411
2001,9,6,4,13924.483516735
2001,9,7,5,13721.3566790016
2001,9,8,6,9344.16748885523
2001,9,9,7,8348.75000201978
2001,9,10,1,12459.3987361835
2001,9,11,2,13590.5032295467
2001,9,12,3,13148.1974331991
2001,9,13,4,13184.8263560597
2001,9,14,5,13443.5604679299
2001,9,15,6,9662.13086362199
2001,9,16,7,8318.69350259286
2001,9,17,1,12664.9308668646
2001,9,18,2,13527.0319844725
2001,9,19,3,13574.0232441355
2001,9,20,4,13751.8423183786
2001,9,21,5,13340.6138408998
2001,9,22,6,9605.53300304039
2001,9,23,7,8494.16878118246
2001,9,24,1,12564.1751524702
2001,9,25,2,14064.2087311942
2001,9,26,3,13439.4254776574
2001,9,27,4,13199.301293831
2001,9,28,5,13172.5850381737
2001,9,29,6,9243.98876779058
2001,9,30,7,8041.93904109839
2001,10,1,1,12424.5091597192
2001,10,2,2,13524.2835015845
2001,10,3,3,13055.2039721401
2001,10,4,4,13183.0258055086
2001,10,5,5,12850.6924448201
2001,10,6,6,8872.17937768795
2001,10,7,7,7745.25416293354
2001,10,8,1,11531.0307671469
2001,10,9,2,12885.855107351
2001,10,10,3,12858.7511247478
2001,10,11,4,12568.4452367736
2001,10,12,5,12675.6988611064
2001,10,13,6,8659.88845795859
2001,10,14,7,7752.84218837837
2001,10,15,1,11649.6329987237
2001,10,16,2,12770.943354252
2001,10,17,3,12599.2091863374
2001,10,18,4,12577.6635199533
2001,10,19,5,12359.0027784395
2001,10,20,6,8747.03903386295
2001,10,21,7,7504.7351979631
2001,10,22,1,11704.5605176833
2001,10,23,2,12896.4637720546
2001,10,24,3,12676.0693716714
2001,10,25,4,12515.0006468971
2001,10,26,5,12296.6940095324
2001,10,27,6,8458.61380756939
2001,10,28,7,7674.57938909062
2001,10,29,1,11390.0770956151
2001,10,30,2,12532.2925917987
2001,10,31,3,10912.2260086598
2001,11,1,4,12877.5708948044
2001,11,2,5,12375.328492241
2001,11,3,6,8572.63426758321
2001,11,4,7,7533.25144102737
2001,11,5,1,11669.8610825886
2001,11,6,2,12660.3956829313
2001,11,7,3,12417.829046878
2001,11,8,4,12518.6220072423
2001,11,9,5,12416.1417140136
2001,11,10,6,8666.33767190541
2001,11,11,7,7597.33172435975
2001,11,12,1,11669.7845838478
2001,11,13,2,12381.4478365746
2001,11,14,3,12600.853374439
2001,11,15,4,12935.9560115074
2001,11,16,5,12979.902042995
2001,11,17,6,8773.23196407169
2001,11,18,7,7493.29948232637
2001,11,19,1,12712.2289992656
2001,11,20,2,13603.0200343431
2001,11,21,3,12165.945601048
2001,11,22,4,7512.49927837879
2001,11,23,5,9591.92392643469
2001,11,24,6,8099.95999299301
2001,11,25,7,7456.09613902379
2001,11,26,1,11732.0204975644
2001,11,27,2,13251.1960137597
2001,11,28,3,12515.3968124021
2001,11,29,4,12473.8852863095
2001,11,30,5,12021.2324444895
2001,12,1,6,8254.05094340407
2001,12,2,7,7386.55397476509
2001,12,3,1,11548.1515457362
2001,12,4,2,12605.0445199636
2001,12,5,3,12607.9963123155
2001,12,6,4,12187.3652926004
2001,12,7,5,11691.9123030251
2001,12,8,6,8372.83120998772
2001,12,9,7,7496.8034645107
2001,12,10,1,11654.9366766694
2001,12,11,2,12799.2604967776
2001,12,12,3,12885.5132210783
2001,12,13,4,12230.0713471281
2001,12,14,5,12403.8931741171
2001,12,15,6,8614.18762905061
2001,12,16,7,7432.86348744684
2001,12,17,1,12391.486928571
2001,12,18,2,13657.9383141732
2001,12,19,3,13403.0841857332
2001,12,20,4,13872.3605052795
2001,12,21,5,13531.1768939824
2001,12,22,6,9063.1387475389
2001,12,23,7,7244.99252640555
2001,12,24,1,7627.13517490086
2001,12,25,2,6602.75176117266
2001,12,26,3,11040.4952124424
2001,12,27,4,14153.6860144946
2001,12,28,5,14233.8099714494
2001,12,29,6,9562.14484003002
2001,12,30,7,7840.95761326154
2001,12,31,1,10273.0655404642
2002,1,1,2,7926.02520261999
2002,1,2,3,10721.4995609549
2002,1,3,4,12465.9497062567
2002,1,4,5,12670.9865158179
2002,1,5,6,8902.72252701048
2002,1,6,7,7648.09162839254
2002,1,7,1,11546.9080515825
2002,1,8,2,12515.2092924207
2002,1,9,3,11654.5423865097
2002,1,10,4,12596.4328112253
2002,1,11,5,12274.5225501706
2002,1,12,6,8591.65825982469
2002,1,13,7,7472.64222063693
2002,1,14,1,11529.8092262867
2002,1,15,2,12369.0297350307
2002,1,16,3,11995.650039154
2002,1,17,4,12412.7970974988
2002,1,18,5,12251.2006750449
2002,1,19,6,8435.18249830291
2002,1,20,7,7461.62047902609
2002,1,21,1,10922.6310342083
2002,1,22,2,12362.634227267
2002,1,23,3,12253.6877033709
2002,1,24,4,12548.271145172
2002,1,25,5,12069.1739821354
2002,1,26,6,8528.49244433006
2002,1,27,7,7510.52076024591
2002,1,28,1,11353.8319203938
2002,1,29,2,12215.7025937762
2002,1,30,3,12146.4018650273
2002,1,31,4,12125.0759703998
2002,2,1,5,12129.8215674451
2002,2,2,6,9018.56146352382
2002,2,3,7,7441.9809377374
2002,2,4,1,11412.7954874299
2002,2,5,2,12487.7781675154
2002,2,6,3,12210.5792910848
2002,2,7,4,12419.1933571801
2002,2,8,5,12443.0202879821
2002,2,9,6,8705.73673834782
2002,2,10,7,7568.4131549146
2002,2,11,1,11546.9759823658
2002,2,12,2,12777.9235395658
2002,2,13,3,12069.0122950567
2002,2,14,4,13060.2860336346
2002,2,15,5,12548.9805778254
2002,2,16,6,8710.94891765334
2002,2,17,7,7482.45427799002
2002,2,18,1,10906.4650408571
2002,2,19,2,12259.8016145059
2002,2,20,3,12817.2259909849
2002,2,21,4,12382.8560051532
2002,2,22,5,12667.5211496317
2002,2,23,6,8639.834770417
2002,2,24,7,7487.3101253766
2002,2,25,1,11547.9512275773
2002,2,26,2,12486.8357701825
2002,2,27,3,12303.9339316605
2002,2,28,4,12370.0497367452
2002,3,1,5,12386.8747670501
2002,3,2,6,8508.34751152294
2002,3,3,7,7624.43622049931
2002,3,4,1,11660.4115709002
2002,3,5,2,12678.2864612332
2002,3,6,3,12371.3000919643
2002,3,7,4,12525.1980204898
2002,3,8,5,12243.8764466957
2002,3,9,6,8605.03154522193
2002,3,10,7,7635.35075102968
2002,3,11,1,11197.0790821357
2002,3,12,2,12667.7661385276
2002,3,13,3,12030.2645327
2002,3,14,4,12582.4990233523
2002,3,15,5,12472.63237175
2002,3,16,6,8694.96499630865
2002,3,17,7,7679.56887966579
2002,3,18,1,11621.8560678757
2002,3,19,2,12672.6183531815
2002,3,20,3,12576.1442049497
2002,3,21,4,12501.9045272897
2002,3,22,5,12252.2715427137
2002,3,23,6,8568.70253841143
2002,3,24,7,7420.26200822699
2002,3,25,1,11506.2550778595
2002,3,26,2,12840.7959709881
2002,3,27,3,12568.5342003097
2002,3,28,4,12452.4225471921
2002,3,29,5,11449.2781946694
2002,3,30,6,8269.44931968956
2002,3,31,7,7083.66332048483
2002,4,1,1,10263.1701482267
2002,4,2,2,12883.697343248
2002,4,3,3,12372.3528532397
