"","year","month","date_of_month","day_of_week","autos"
"91",2000,3,31,5,11820.05503
"92",2000,4,1,6,8387.858305
"93",2000,4,2,7,7539.198147
"94",2000,4,3,1,11397.6247
"95",2000,4,4,2,12797.72834
"96",2000,4,5,3,12207.52254
"97",2000,4,6,4,12192.78022
"98",2000,4,7,5,12212.50195
"99",2000,4,8,6,8742.960387
"100",2000,4,9,7,7759.457296
"101",2000,4,10,1,11333.72375
"102",2000,4,11,2,12850.29064
"103",2000,4,12,3,12545.9551
"104",2000,4,13,4,11907.21637
"105",2000,4,14,5,12053.26885
"106",2000,4,15,6,8886.13703
"107",2000,4,16,7,7859.287899
"108",2000,4,17,1,11321.44192
"109",2000,4,18,2,12781.91711
"110",2000,4,19,3,12563.07493
"111",2000,4,20,4,12299.62972
"112",2000,4,21,5,11255.2636
"113",2000,4,22,6,8365.751769
"114",2000,4,23,7,7481.8332
"115",2000,4,24,1,11308.6672
"116",2000,4,25,2,12487.88519
"117",2000,4,26,3,12243.82582
"118",2000,4,27,4,12232.94984
"119",2000,4,28,5,11987.8759
"120",2000,4,29,6,8702.98581
"121",2000,4,30,7,7641.900896
"122",2000,5,1,1,11620.89088
"123",2000,5,2,2,12931.49916
"124",2000,5,3,3,12258.59231
"125",2000,5,4,4,12434.57607
"126",2000,5,5,5,12539.67776
"127",2000,5,6,6,8811.835377
"128",2000,5,7,7,7799.139483
"129",2000,5,8,1,11603.21064
"130",2000,5,9,2,12743.17999
"131",2000,5,10,3,12608.91319
"132",2000,5,11,4,12441.16331
"133",2000,5,12,5,12130.98746
"134",2000,5,13,6,8746.699199
"135",2000,5,14,7,7616.975177
"136",2000,5,15,1,11586.66384
"137",2000,5,16,2,12899.13438
"138",2000,5,17,3,12729.29477
"139",2000,5,18,4,12579.60518
"140",2000,5,19,5,12173.58528
"141",2000,5,20,6,8672.062569
"142",2000,5,21,7,7887.808295
"143",2000,5,22,1,11582.65949
"144",2000,5,23,2,13095.74474
"145",2000,5,24,3,12668.11255
"146",2000,5,25,4,13027.42705
"147",2000,5,26,5,12726.35227
"148",2000,5,27,6,8992.372074
"149",2000,5,28,7,7871.318698
"150",2000,5,29,1,8271.350402
"151",2000,5,30,2,11954.29875
"152",2000,5,31,3,12941.80091
"153",2000,6,1,4,13362.5466
"154",2000,6,2,5,12694.92489
"155",2000,6,3,6,8939.387312
"156",2000,6,4,7,7983.523866
"157",2000,6,5,1,11649.16041
"158",2000,6,6,2,12764.72617
"159",2000,6,7,3,12474.76671
"160",2000,6,8,4,12752.80826
"161",2000,6,9,5,12504.42753
"162",2000,6,10,6,9133.924507
"163",2000,6,11,7,8116.461732
"164",2000,6,12,1,11848.85988
"165",2000,6,13,2,12682.74071
"166",2000,6,14,3,12849.36546
"167",2000,6,15,4,12798.0466
"168",2000,6,16,5,12726.48039
"169",2000,6,17,6,9143.195324
"170",2000,6,18,7,8161.163228
"171",2000,6,19,1,11648.00928
"172",2000,6,20,2,13018.39748
"173",2000,6,21,3,12727.85165
"174",2000,6,22,4,12807.24388
"175",2000,6,23,5,12601.58349
"176",2000,6,24,6,9094.559554
"177",2000,6,25,7,8177.109106
"178",2000,6,26,1,12164.96229
"179",2000,6,27,2,13355.22932
"180",2000,6,28,3,13033.41005
"181",2000,6,29,4,13461.13882
"182",2000,6,30,5,13223.78791
"183",2000,7,1,6,9376.866727
"184",2000,7,2,7,8099.223647
"185",2000,7,3,1,11344.16809
"186",2000,7,4,2,9551.222321
"187",2000,7,5,3,12345.78164
"188",2000,7,6,4,13854.70903
"189",2000,7,7,5,13657.80587
"190",2000,7,8,6,9629.186065
"191",2000,7,9,7,8587.273574
"192",2000,7,10,1,12421.28093
"193",2000,7,11,2,13583.81544
"194",2000,7,12,3,12827.66006
"195",2000,7,13,4,12978.88272
"196",2000,7,14,5,13230.35442
"197",2000,7,15,6,9625.433541
"198",2000,7,16,7,8423.048847
"199",2000,7,17,1,12053.46975
"200",2000,7,18,2,13663.49144
"201",2000,7,19,3,13001.47942
"202",2000,7,20,4,13174.88635
"203",2000,7,21,5,13027.65473
"204",2000,7,22,6,9464.13822
"205",2000,7,23,7,8165.266414
"206",2000,7,24,1,12127.84517
"207",2000,7,25,2,13178.30679
"208",2000,7,26,3,12929.61429
"209",2000,7,27,4,13154.73022
"210",2000,7,28,5,12888.99508
"211",2000,7,29,6,9463.832585
"212",2000,7,30,7,8443.23054
"213",2000,7,31,1,11858.27519
"214",2000,8,1,2,13354.61436
"215",2000,8,2,3,12833.68312
"216",2000,8,3,4,13093.27585
"217",2000,8,4,5,12937.52065
"218",2000,8,5,6,9397.281122
"219",2000,8,6,7,8349.176537
"220",2000,8,7,1,11863.6256
"221",2000,8,8,2,13694.36147
"222",2000,8,9,3,13168.12826
"223",2000,8,10,4,12953.94515
"224",2000,8,11,5,12728.94664
"225",2000,8,12,6,9305.82676
"226",2000,8,13,7,8314.492397
"227",2000,8,14,1,11929.63886
"228",2000,8,15,2,13374.40208
"229",2000,8,16,3,13172.56632
"230",2000,8,17,4,13096.76936
"231",2000,8,18,5,13125.77403
"232",2000,8,19,6,9277.317357
"233",2000,8,20,7,8344.555599
"234",2000,8,21,1,12001.13208
"235",2000,8,22,2,13406.13655
"236",2000,8,23,3,12927.19411
"237",2000,8,24,4,13021.42685
"238",2000,8,25,5,12926.17756
"239",2000,8,26,6,9341.450286
"240",2000,8,27,7,8241.031698
"241",2000,8,28,1,12075.07807
"242",2000,8,29,2,13236.90464
"243",2000,8,30,3,13110.31702
"244",2000,8,31,4,13288.67637
"245",2000,9,1,5,13144.66934
"246",2000,9,2,6,9263.60096
"247",2000,9,3,7,8247.920115
"248",2000,9,4,1,8603.102419
"249",2000,9,5,2,12201.71745
"250",2000,9,6,3,13916.70883
"251",2000,9,7,4,13512.24503
"252",2000,9,8,5,13488.42896
"253",2000,9,9,6,9860.085446
"254",2000,9,10,7,8552.234917
"255",2000,9,11,1,12405.32379
"256",2000,9,12,2,13648.662
"257",2000,9,13,3,13300.22899
"258",2000,9,14,4,13740.26633
"259",2000,9,15,5,13552.60672
"260",2000,9,16,6,9780.381037
"261",2000,9,17,7,8683.033131
"262",2000,9,18,1,12553.7292
"263",2000,9,19,2,13850.48757
"264",2000,9,20,3,13774.34639
"265",2000,9,21,4,13348.6844
"266",2000,9,22,5,13188.51378
"267",2000,9,23,6,9492.792343
"268",2000,9,24,7,8540.053695
"269",2000,9,25,1,12431.51413
"270",2000,9,26,2,13540.9262
"271",2000,9,27,3,13466.51313
"272",2000,9,28,4,13515.13943
"273",2000,9,29,5,13043.15243
"274",2000,9,30,6,9335.155313
"275",2000,10,1,7,8452.569322
"276",2000,10,2,1,12221.73964
"277",2000,10,3,2,13245.42794
"278",2000,10,4,3,13154.87827
"279",2000,10,5,4,13288.03131
"280",2000,10,6,5,12773.80677
"281",2000,10,7,6,9132.016137
"282",2000,10,8,7,8118.562671
"283",2000,10,9,1,11342.9597
"284",2000,10,10,2,13123.76835
"285",2000,10,11,3,12907.74575
"286",2000,10,12,4,13036.97725
"287",2000,10,13,5,11724.71214
"288",2000,10,14,6,9163.13287
"289",2000,10,15,7,8154.082289
"290",2000,10,16,1,12000.46158
"291",2000,10,17,2,13106.01612
"292",2000,10,18,3,12815.52643
"293",2000,10,19,4,12502.42182
"294",2000,10,20,5,12470.06303
"295",2000,10,21,6,8957.126754
"296",2000,10,22,7,7936.855034
"297",2000,10,23,1,11810.06921
"298",2000,10,24,2,12996.58213
"299",2000,10,25,3,12779.75229
"300",2000,10,26,4,12787.62479
"301",2000,10,27,5,12333.62194
"302",2000,10,28,6,8978.758562
"303",2000,10,29,7,8123.821328
"304",2000,10,30,1,11557.65995
"305",2000,10,31,2,11372.53692
"306",2000,11,1,3,12926.48132
"307",2000,11,2,4,13064.69045
"308",2000,11,3,5,12627.72991
"309",2000,11,4,6,9084.814078
"310",2000,11,5,7,8077.596558
"311",2000,11,6,1,11862.18673
"312",2000,11,7,2,12821.86533
"313",2000,11,8,3,12830.14486
"314",2000,11,9,4,12778.76645
"315",2000,11,10,5,12553.00253
"316",2000,11,11,6,9317.635396
"317",2000,11,12,7,8068.163297
"318",2000,11,13,1,11480.39215
"319",2000,11,14,2,13151.84221
"320",2000,11,15,3,12952.86724
"321",2000,11,16,4,13061.40629
"322",2000,11,17,5,12886.65487
"323",2000,11,18,6,9136.241359
"324",2000,11,19,7,8077.225497
"325",2000,11,20,1,12973.35388
"326",2000,11,21,2,13990.18878
"327",2000,11,22,3,12420.06963
"328",2000,11,23,4,8143.125784
"329",2000,11,24,5,9804.803142
"330",2000,11,25,6,8535.701036
"331",2000,11,26,7,7948.197213
"332",2000,11,27,1,12176.09998
"333",2000,11,28,2,13798.23044
"334",2000,11,29,3,13114.58001
"335",2000,11,30,4,12817.13825
"336",2000,12,1,5,12544.9552
"337",2000,12,2,6,8910.903837
"338",2000,12,3,7,7930.1579
"339",2000,12,4,1,11501.31319
"340",2000,12,5,2,12996.13265
"341",2000,12,6,3,12695.98662
"342",2000,12,7,4,12818.87893
"343",2000,12,8,5,12548.68389
"344",2000,12,9,6,8853.06597
"345",2000,12,10,7,8022.875435
"346",2000,12,11,1,11810.74449
"347",2000,12,12,2,13628.49549
"348",2000,12,13,3,12567.8335
"349",2000,12,14,4,12640.8797
"350",2000,12,15,5,12654.58734
"351",2000,12,16,6,9183.75748
"352",2000,12,17,7,8025.471124
"353",2000,12,18,1,12590.35001
"354",2000,12,19,2,13826.7327
"355",2000,12,20,3,13762.89513
"356",2000,12,21,4,13524.1691
"357",2000,12,22,5,12247.14081
"358",2000,12,23,6,8482.616156
"359",2000,12,24,7,6971.797975
"360",2000,12,25,1,6718.236422
"361",2000,12,26,2,10393.9297
"362",2000,12,27,3,13250.79639
"363",2000,12,28,4,13900.02101
"364",2000,12,29,5,13607.36452
"365",2000,12,30,6,9404.340194
"366",2000,12,31,7,7890.749951
"367",2001,1,1,1,7664.657695
"368",2001,1,2,2,10635.24776
"369",2001,1,3,3,12450.32537
"370",2001,1,4,4,12677.2349
"371",2001,1,5,5,12646.09181
"372",2001,1,6,6,9180.969098
"373",2001,1,7,7,7882.973973
"374",2001,1,8,1,11449.43422
"375",2001,1,9,2,12385.70711
"376",2001,1,10,3,12454.93009
"377",2001,1,11,4,12432.8704
"378",2001,1,12,5,12735.07963
"379",2001,1,13,6,8836.701244
"380",2001,1,14,7,7817.459973
"381",2001,1,15,1,10925.03177
"382",2001,1,16,2,12326.76552
"383",2001,1,17,3,12344.05343
"384",2001,1,18,4,12647.91284
"385",2001,1,19,5,12337.89881
"386",2001,1,20,6,8770.497763
"387",2001,1,21,7,7850.464412
"388",2001,1,22,1,11443.27079
"389",2001,1,23,2,12445.41767
"390",2001,1,24,3,12243.73271
"391",2001,1,25,4,12569.80432
"392",2001,1,26,5,12192.79742
"393",2001,1,27,6,8794.506285
"394",2001,1,28,7,7762.075489
"395",2001,1,29,1,11511.99302
"396",2001,1,30,2,12488.12095
"397",2001,1,31,3,12475.93922
"398",2001,2,1,4,12475.88142
"399",2001,2,2,5,12470.8046
"400",2001,2,3,6,8650.434565
"401",2001,2,4,7,7715.814942
"402",2001,2,5,1,11826.01933
"403",2001,2,6,2,12535.22346
"404",2001,2,7,3,12341.75333
"405",2001,2,8,4,12391.70204
"406",2001,2,9,5,12342.48377
"407",2001,2,10,6,8792.371813
"408",2001,2,11,7,7563.768174
"409",2001,2,12,1,11668.25341
"410",2001,2,13,2,12267.33866
"411",2001,2,14,3,13189.19403
"412",2001,2,15,4,12631.23602
"413",2001,2,16,5,12355.85608
"414",2001,2,17,6,8609.292542
"415",2001,2,18,7,7554.684358
"416",2001,2,19,1,10520.63138
"417",2001,2,20,2,12373.30611
"418",2001,2,21,3,12493.0056
"419",2001,2,22,4,12480.54767
"420",2001,2,23,5,12242.87806
"421",2001,2,24,6,8654.587812
"422",2001,2,25,7,7793.153722
"423",2001,2,26,1,11331.77504
"424",2001,2,27,2,12334.34732
"425",2001,2,28,3,12209.18911
"426",2001,3,1,4,12529.12104
"427",2001,3,2,5,12382.46141
"428",2001,3,3,6,8932.911991
"429",2001,3,4,7,7799.532045
"430",2001,3,5,1,11411.47051
"431",2001,3,6,2,12339.29226
"432",2001,3,7,3,12350.7019
"433",2001,3,8,4,12439.83264
"434",2001,3,9,5,12458.27833
"435",2001,3,10,6,8805.699014
"436",2001,3,11,7,7698.701871
"437",2001,3,12,1,11595.78257
"438",2001,3,13,2,12533.76628
"439",2001,3,14,3,12577.57796
"440",2001,3,15,4,12523.51618
"441",2001,3,16,5,12459.55281
"442",2001,3,17,6,9005.707591
"443",2001,3,18,7,7525.983045
"444",2001,3,19,1,11351.65377
"445",2001,3,20,2,12868.64113
"446",2001,3,21,3,12689.35088
"447",2001,3,22,4,12472.49174
"448",2001,3,23,5,12433.049
"449",2001,3,24,6,8830.851317
"450",2001,3,25,7,7797.734988
"451",2001,3,26,1,11290.65958
"452",2001,3,27,2,12569.01507
"453",2001,3,28,3,12468.28235
"454",2001,3,29,4,12364.37094
"455",2001,3,30,5,12058.21905
"456",2001,3,31,6,8768.806787
"457",2001,4,1,7,7210.587895
"458",2001,4,2,1,11674.54455
"459",2001,4,3,2,12863.5746
"460",2001,4,4,3,12654.93281
"461",2001,4,5,4,12436.73101
"462",2001,4,6,5,12406.80218
"463",2001,4,7,6,8753.621796
"464",2001,4,8,7,7718.116759
"465",2001,4,9,1,11616.69639
"466",2001,4,10,2,13030.91601
"467",2001,4,11,3,12912.56017
"468",2001,4,12,4,12731.76625
"469",2001,4,13,5,10882.14972
"470",2001,4,14,6,8261.320968
"471",2001,4,15,7,7231.092055
"472",2001,4,16,1,11219.11009
"473",2001,4,17,2,12865.84053
"474",2001,4,18,3,12380.67576
"475",2001,4,19,4,12258.55374
"476",2001,4,20,5,12296.14489
"477",2001,4,21,6,8850.615705
"478",2001,4,22,7,7757.47322
"479",2001,4,23,1,11672.25165
"480",2001,4,24,2,12980.5942
"481",2001,4,25,3,12728.58423
"482",2001,4,26,4,12559.31616
"483",2001,4,27,5,12334.72208
"484",2001,4,28,6,8572.612986
"485",2001,4,29,7,7603.999153
"486",2001,4,30,1,11415.89634
"487",2001,5,1,2,13037.25085
"488",2001,5,2,3,12542.4285
"489",2001,5,3,4,12595.17581
"490",2001,5,4,5,12277.42261
"491",2001,5,5,6,8796.044214
"492",2001,5,6,7,8000.521003
"493",2001,5,7,1,11635.38534
"494",2001,5,8,2,13030.44254
"495",2001,5,9,3,12477.32403
"496",2001,5,10,4,12632.78932
"497",2001,5,11,5,12295.03809
"498",2001,5,12,6,8692.221541
"499",2001,5,13,7,7477.682914
"500",2001,5,14,1,11576.66905
"501",2001,5,15,2,13123.07433
"502",2001,5,16,3,12625.12997
"503",2001,5,17,4,12630.01907
"504",2001,5,18,5,12315.089
"505",2001,5,19,6,8802.831887
"506",2001,5,20,7,7732.442971
"507",2001,5,21,1,11678.90382
"508",2001,5,22,2,13046.44077
"509",2001,5,23,3,12936.69926
"510",2001,5,24,4,13177.01701
"511",2001,5,25,5,12723.21536
"512",2001,5,26,6,8911.533927
"513",2001,5,27,7,7528.461025
"514",2001,5,28,1,7992.554975
"515",2001,5,29,2,12012.78271
"516",2001,5,30,3,13332.5912
"517",2001,5,31,4,13050.38631
"518",2001,6,1,5,12676.85759
"519",2001,6,2,6,8919.492809
"520",2001,6,3,7,7886.310476
"521",2001,6,4,1,11499.77042
"522",2001,6,5,2,12683.43785
"523",2001,6,6,3,12803.81848
"524",2001,6,7,4,12567.26243
"525",2001,6,8,5,12450.59196
"526",2001,6,9,6,8756.411539
"527",2001,6,10,7,7675.284005
"528",2001,6,11,1,11776.10543
"529",2001,6,12,2,13218.94117
"530",2001,6,13,3,12341.04029
"531",2001,6,14,4,12654.52702
"532",2001,6,15,5,12393.56789
"533",2001,6,16,6,8778.969191
"534",2001,6,17,7,7722.244571
"535",2001,6,18,1,11755.68094
"536",2001,6,19,2,12785.849
"537",2001,6,20,3,12704.57613
"538",2001,6,21,4,12615.45639
"539",2001,6,22,5,12298.86753
"540",2001,6,23,6,8452.294596
"541",2001,6,24,7,7638.99115
"542",2001,6,25,1,11575.47579
"543",2001,6,26,2,12940.24273
"544",2001,6,27,3,12809.08633
"545",2001,6,28,4,13059.75323
"546",2001,6,29,5,12921.2031
"547",2001,6,30,6,9247.254662
"548",2001,7,1,7,8146.358043
"549",2001,7,2,1,12391.04157
"550",2001,7,3,2,13362.99793
"551",2001,7,4,3,9606.948725
"552",2001,7,5,4,12530.82208
"553",2001,7,6,5,13150.9724
"554",2001,7,7,6,9542.577173
"555",2001,7,8,7,8249.144905
"556",2001,7,9,1,12036.30043
"557",2001,7,10,2,13614.19857
"558",2001,7,11,3,13025.84991
"559",2001,7,12,4,13189.24232
"560",2001,7,13,5,12186.66354
"561",2001,7,14,6,9268.049928
"562",2001,7,15,7,8046.665646
"563",2001,7,16,1,12382.11397
"564",2001,7,17,2,13658.46366
"565",2001,7,18,3,13240.36241
"566",2001,7,19,4,13292.85373
"567",2001,7,20,5,12950.62632
"568",2001,7,21,6,9409.591492
"569",2001,7,22,7,8116.712517
"570",2001,7,23,1,12097.10273
"571",2001,7,24,2,13534.26589
"572",2001,7,25,3,12987.33295
"573",2001,7,26,4,13021.19156
"574",2001,7,27,5,12677.35335
"575",2001,7,28,6,9101.017439
"576",2001,7,29,7,7891.351436
"577",2001,7,30,1,12151.19019
"578",2001,7,31,2,13218.90586
"579",2001,8,1,3,12958.5345
"580",2001,8,2,4,13097.40858
"581",2001,8,3,5,12859.16096
"582",2001,8,4,6,9142.997056
"583",2001,8,5,7,8060.979637
"584",2001,8,6,1,12008.92885
"585",2001,8,7,2,13490.00489
"586",2001,8,8,3,13183.65209
"587",2001,8,9,4,13341.74199
"588",2001,8,10,5,13093.30109
"589",2001,8,11,6,9274.595494
"590",2001,8,12,7,8262.553389
"591",2001,8,13,1,11682.32017
"592",2001,8,14,2,13325.59144
"593",2001,8,15,3,13331.24929
"594",2001,8,16,4,13371.98837
"595",2001,8,17,5,13102.1456
"596",2001,8,18,6,9292.860155
"597",2001,8,19,7,7947.561791
"598",2001,8,20,1,12312.85526
"599",2001,8,21,2,13592.11105
"600",2001,8,22,3,13147.49676
"601",2001,8,23,4,13158.32321
"602",2001,8,24,5,12995.28634
"603",2001,8,25,6,9229.005462
"604",2001,8,26,7,8114.481035
"605",2001,8,27,1,12080.94252
"606",2001,8,28,2,13789.67094
"607",2001,8,29,3,13160.60166
"608",2001,8,30,4,13519.93964
"609",2001,8,31,5,13461.33849
"610",2001,9,1,6,9246.348675
"611",2001,9,2,7,8239.541046
"612",2001,9,3,1,8113.514851
"613",2001,9,4,2,12499.93726
"614",2001,9,5,3,14055.57681
"615",2001,9,6,4,13926.177
"616",2001,9,7,5,13722.384
"617",2001,9,8,6,9345.063748
"618",2001,9,9,7,8346.219298
"619",2001,9,10,1,12457.22165
"620",2001,9,11,2,13589.87842
"621",2001,9,12,3,13150.22207
"622",2001,9,13,4,13188.5615
"623",2001,9,14,5,13444.03231
"624",2001,9,15,6,9661.98495
"625",2001,9,16,7,8317.759789
"626",2001,9,17,1,12663.58738
"627",2001,9,18,2,13525.97289
"628",2001,9,19,3,13575.80438
"629",2001,9,20,4,13750.1786
"630",2001,9,21,5,13340.99898
"631",2001,9,22,6,9606.327209
"632",2001,9,23,7,8495.440749
"633",2001,9,24,1,12564.13918
"634",2001,9,25,2,14063.99802
"635",2001,9,26,3,13441.24991
"636",2001,9,27,4,13199.73717
"637",2001,9,28,5,13173.82801
"638",2001,9,29,6,9243.880414
"639",2001,9,30,7,8042.726481
"640",2001,10,1,1,12425.0447
"641",2001,10,2,2,13523.50589
"642",2001,10,3,3,13056.25238
"643",2001,10,4,4,13183.12939
"644",2001,10,5,5,12851.10874
"645",2001,10,6,6,8872.352248
"646",2001,10,7,7,7743.440688
"647",2001,10,8,1,11530.7906
"648",2001,10,9,2,12886.07523
"649",2001,10,10,3,12860.2089
"650",2001,10,11,4,12568.6783
"651",2001,10,12,5,12676.06268
"652",2001,10,13,6,8659.1923
"653",2001,10,14,7,7753.112774
"654",2001,10,15,1,11649.87568
"655",2001,10,16,2,12769.86325
"656",2001,10,17,3,12599.37483
"657",2001,10,18,4,12577.61052
"658",2001,10,19,5,12359.7656
"659",2001,10,20,6,8747.745158
"660",2001,10,21,7,7505.100287
"661",2001,10,22,1,11705.25308
"662",2001,10,23,2,12894.65776
"663",2001,10,24,3,12676.29029
"664",2001,10,25,4,12517.65053
"665",2001,10,26,5,12297.16502
"666",2001,10,27,6,8459.056758
"667",2001,10,28,7,7676.240284
"668",2001,10,29,1,11388.25745
"669",2001,10,30,2,12532.2936
"670",2001,10,31,3,10913.33045
"671",2001,11,1,4,12878.73049
"672",2001,11,2,5,12374.25531
"673",2001,11,3,6,8572.104478
"674",2001,11,4,7,7532.192837
"675",2001,11,5,1,11668.92596
"676",2001,11,6,2,12663.15629
"677",2001,11,7,3,12419.48172
"678",2001,11,8,4,12519.63508
"679",2001,11,9,5,12415.20409
"680",2001,11,10,6,8665.337524
"681",2001,11,11,7,7597.882261
"682",2001,11,12,1,11669.64658
"683",2001,11,13,2,12382.92111
"684",2001,11,14,3,12600.83435
"685",2001,11,15,4,12936.88439
"686",2001,11,16,5,12978.93845
"687",2001,11,17,6,8774.101296
"688",2001,11,18,7,7494.54282
"689",2001,11,19,1,12708.36861
"690",2001,11,20,2,13604.30147
"691",2001,11,21,3,12166.15692
"692",2001,11,22,4,7512.596892
"693",2001,11,23,5,9592.595239
"694",2001,11,24,6,8101.820515
"695",2001,11,25,7,7456.699553
"696",2001,11,26,1,11731.82704
"697",2001,11,27,2,13249.53554
"698",2001,11,28,3,12516.87258
"699",2001,11,29,4,12474.9033
"700",2001,11,30,5,12018.57322
"701",2001,12,1,6,8255.736628
"702",2001,12,2,7,7384.08071
"703",2001,12,3,1,11548.30775
"704",2001,12,4,2,12606.14452
"705",2001,12,5,3,12608.53224
"706",2001,12,6,4,12187.94677
"707",2001,12,7,5,11693.0759
"708",2001,12,8,6,8371.364143
"709",2001,12,9,7,7499.948542
"710",2001,12,10,1,11653.77219
"711",2001,12,11,2,12798.15296
"712",2001,12,12,3,12885.02102
"713",2001,12,13,4,12229.69814
"714",2001,12,14,5,12405.83895
"715",2001,12,15,6,8614.665953
"716",2001,12,16,7,7430.894119
"717",2001,12,17,1,12391.36513
"718",2001,12,18,2,13657.61684
"719",2001,12,19,3,13404.29141
"720",2001,12,20,4,13871.61272
"721",2001,12,21,5,13530.88989
"722",2001,12,22,6,9060.221486
"723",2001,12,23,7,7244.196775
"724",2001,12,24,1,7625.906646
"725",2001,12,25,2,6603.664476
"726",2001,12,26,3,11040.67699
"727",2001,12,27,4,14149.36783
"728",2001,12,28,5,14233.77305
"729",2001,12,29,6,9561.867407
"730",2001,12,30,7,7840.675542
"731",2001,12,31,1,10272.10586
"732",2002,1,1,2,7925.606008
"733",2002,1,2,3,10723.4318
"734",2002,1,3,4,12464.96253
"735",2002,1,4,5,12671.84559
"736",2002,1,5,6,8900.900184
"737",2002,1,6,7,7647.724341
"738",2002,1,7,1,11549.11215
"739",2002,1,8,2,12515.62669
"740",2002,1,9,3,11653.44585
"741",2002,1,10,4,12598.27699
"742",2002,1,11,5,12277.11779
"743",2002,1,12,6,8590.60949
"744",2002,1,13,7,7470.221995
"745",2002,1,14,1,11528.45114
"746",2002,1,15,2,12371.00316
"747",2002,1,16,3,11994.99507
"748",2002,1,17,4,12410.80965
"749",2002,1,18,5,12252.74098
"750",2002,1,19,6,8433.632446
"751",2002,1,20,7,7460.359255
"752",2002,1,21,1,10920.56446
"753",2002,1,22,2,12361.87682
"754",2002,1,23,3,12252.37969
"755",2002,1,24,4,12550.25514
"756",2002,1,25,5,12068.54479
"757",2002,1,26,6,8530.35939
"758",2002,1,27,7,7509.257506
"759",2002,1,28,1,11354.64313
"760",2002,1,29,2,12214.04013
"761",2002,1,30,3,12146.78081
"762",2002,1,31,4,12125.81102
"763",2002,2,1,5,12130.14217
"764",2002,2,2,6,9022.638107
"765",2002,2,3,7,7440.854266
"766",2002,2,4,1,11411.65682
"767",2002,2,5,2,12488.45361
"768",2002,2,6,3,12208.51866
"769",2002,2,7,4,12417.46844
"770",2002,2,8,5,12443.69184
"771",2002,2,9,6,8704.944173
"772",2002,2,10,7,7568.607259
"773",2002,2,11,1,11548.00967
"774",2002,2,12,2,12780.5132
"775",2002,2,13,3,12068.19961
